CodigoMesa;Descripcion;CodigoDepartamento;NombreDepartamento;CodigoProvincia;NombreProvincia;CodigoMunicipio;NombreMunicipio;CodigoLocalidad;NombreLocalidad;CodigoRecinto;NombreRecinto;NumeroMesa;InscritosHabilitados;Voto1;Voto2;Voto3;Voto4;Voto5;Voto6;Voto7;Voto8;Voto9;Voto10;Voto11;Voto12;Voto13;VotoValido;VotoBlanco;VotoNuloDirecto;VotoNuloDeclinacion;TotalVotoNulo;VotoEmitido;VotoValidoReal;VotoEmitidoReal
5019571;ALCALDE;5;Potosí;11;José María Linares;1;Puna;4255;Cala Cala;25939;U. E. Marcelino Aguirre;2;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019061;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);332;Esc. Jose Maria Linares;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019071;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);332;Esc. Jose Maria Linares;2;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019081;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);332;Esc. Jose Maria Linares;3;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019091;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);332;Esc. Jose Maria Linares;4;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019101;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);332;Esc. Jose Maria Linares;5;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019111;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);333;Coleg. Litoral;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019121;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);333;Coleg. Litoral;2;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019131;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);333;Coleg. Litoral;3;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019141;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);333;Coleg. Litoral;4;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019151;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1744;Puna(C.Villa Talavera);333;Coleg. Litoral;5;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019161;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1745;Yascapi;334;Esc. Yascapi;1;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019171;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1746;Belen;32416;U. E. Tres Cruces Alcatuyo;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019181;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1746;Belen;32416;U. E. Tres Cruces Alcatuyo;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019191;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1746;Belen;335;U.E. Belen;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019201;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1746;Belen;335;U.E. Belen;2;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019211;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1746;Belen;335;U.E. Belen;3;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019221;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1747;Miculpaya;336;U.E. Miculpaya;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019231;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1747;Miculpaya;336;U.E. Miculpaya;2;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019241;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1748;Marasa;337;U.E. Jose Alonso De Ibañez;1;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019251;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1749;San Lorenzo;338;U.E. Luis Espinal De San Lorenzo;1;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
